State_Name,Assembly_No,Constituency_No,Year,month,Poll_No,DelimID,Position,Candidate,Sex,Party,Votes,Candidate_Type,Valid_Votes,Electors,Constituency_Name,Constituency_Type,Sub_Region,N_Cand,Turnout_Percentage,Vote_Share_Percentage,Deposit_Lost,Margin,Margin_Percentage,ENOP,pid,Party_Type_TCPD,Party_ID,last_poll,Contested,Last_Party,Last_Party_ID,Last_Constituency_Name,Same_Constituency,Same_Party,No_Terms,Turncoat,Incumbent,Recontest,MyNeta_education,TCPD_Prof_Main,TCPD_Prof_Main_Desc,TCPD_Prof_Second,TCPD_Prof_Second_Desc,Election_Type
Punjab,17,1,2019,4,0,4,1,SUNNY DEOL,M,BJP,558719,,1103887,1595284,GURDASPUR,GEN,,15,69.2,50.61,no,82459,7.47,2.22,GEPB301885,National Party,1605,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,Others,Business,Private Company,Liberal Profession or Professional,"Actor, Film Director",Lok Sabha Election (GE)
Punjab,17,1,2019,4,0,4,2,SUNIL JAKHAR,M,INC,476260,GEN,1103887,1595284,GURDASPUR,GEN,,15,69.2,43.14,no,448516,40.63,2.22,AEPB7536,National Party,3482,TRUE,3,INC,3482,GURDASHPUR,FALSE,TRUE,1,FALSE,TRUE,TRUE,Post Graduate,Agriculture,,,,Lok Sabha Election (GE)
Punjab,17,1,2019,4,0,4,3,PETER MASIH,M,AAAP,27744,,1103887,1595284,GURDASPUR,GEN,,15,69.2,2.51,yes,12470,1.13,2.22,GEPB8500,State-based Party,13,TRUE,2,SSPD,7703,GURDASPUR,TRUE,FALSE,0,TRUE,FALSE,FALSE,12th Pass,Business,Real Estate or Builder or Developer or Construction,,,Lok Sabha Election (GE)
Punjab,17,1,2019,4,0,4,4,LAL CHAND KATARU CHAK,M,RMPOI,15274,,1103887,1595284,GURDASPUR,GEN,,15,69.2,1.38,yes,5714,0.52,2.22,GEPB301005,Local Party,7200,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10th Pass,Politics,Party Worker,,,Lok Sabha Election (GE)
Punjab,17,1,2019,4,0,4,5,NOTA,,NOTA,9560,,1103887,1595284,GURDASPUR,GEN,,15,69.2,0.87,,6424,0.58,2.22,,NOTA,5897,TRUE,,,,,,,,,,,,,,,,Lok Sabha Election (GE)
Punjab,17,1,2019,4,0,4,6,KASIM DEEN,M,IND,3136,,1103887,1595284,GURDASPUR,GEN,,15,69.2,0.28,yes,172,0.02,2.22,GEPB300915,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Illiterate,Labourer or Daily Wage,,,,Lok Sabha Election (GE)
Punjab,17,1,2019,4,0,4,7,PARAMPREET SINGH,M,IND,2964,,1103887,1595284,GURDASPUR,GEN,,15,69.2,0.27,yes,495,0.04,2.22,GEPB301292,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Agriculture,,,,Lok Sabha Election (GE)
Punjab,17,1,2019,4,0,4,8,ASHWANI KUMAR HAPPY,M,CPI(ML)(L),2469,,1103887,1595284,GURDASPUR,GEN,,15,69.2,0.22,yes,668,0.06,2.22,GEPB300245,Local Party,2472,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10th Pass,Labourer or Daily Wage,,,,Lok Sabha Election (GE)
Punjab,17,1,2019,4,0,4,9,SUKRIT SHARDA,M,IND,1801,,1103887,1595284,GURDASPUR,GEN,,15,69.2,0.16,yes,560,0.05,2.22,AEPB6839,Independents,10809,TRUE,2,SP,7425,GURDASPUR,TRUE,FALSE,0,FALSE,FALSE,FALSE,,,,,,Lok Sabha Election (GE)
Punjab,17,1,2019,4,0,4,10,PRITAM SINGH BHATTI,M,JanSP,1241,,1103887,1595284,GURDASPUR,GEN,,15,69.2,0.11,yes,176,0.02,2.22,GEPB301370,Local Party,4541,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10th Pass,Business,,Retired or Pension,,Lok Sabha Election (GE)
Punjab,17,1,2019,4,0,4,11,KARAM SINGH,M,IND,1065,,1103887,1595284,GURDASPUR,GEN,,15,69.2,0.1,yes,177,0.02,2.22,GEPB300892,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,12th Pass,Labourer or Daily Wage,,,,Lok Sabha Election (GE)
Punjab,17,1,2019,4,0,4,12,AMANDEEP SINGH GHOTRA,M,IND,888,,1103887,1595284,GURDASPUR,GEN,,15,69.2,0.08,yes,87,0.01,2.22,GEPB300158,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Retired or Pension,,,,Lok Sabha Election (GE)
Punjab,17,1,2019,4,0,4,13,JASBIR SINGH,M,BSP(A),801,,1103887,1595284,GURDASPUR,GEN,,15,69.2,0.07,yes,1,0,2.22,GEPB300825,Local Party,9654,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,5th Pass,Labourer or Daily Wage,,,,Lok Sabha Election (GE)
Punjab,17,1,2019,4,0,4,14,HARPREET SINGH,M,IND,800,,1103887,1595284,GURDASPUR,GEN,,15,69.2,0.07,yes,134,0.01,2.22,GEPB300731,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10th Pass,Agriculture,,,,Lok Sabha Election (GE)
Punjab,17,1,2019,4,0,4,15,YASH PAUL,M,BMUP,666,,1103887,1595284,GURDASPUR,GEN,,15,69.2,0.06,yes,167,0.02,2.22,GEPB302074,Local Party,1074,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,12th Pass,Small Business or Self-employed,,,,Lok Sabha Election (GE)
Punjab,17,1,2019,4,0,4,16,MANGAL SINGH,M,DPI,499,,1103887,1595284,GURDASPUR,GEN,,15,69.2,0.05,yes,0,0,2.22,GEPB301073,Local Party,10225,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,,Small Business or Self-employed,Shop Keeper,,,Lok Sabha Election (GE)
Punjab,17,2,2019,4,0,4,1,GURJEET SINGH AUJLA,M,INC,445032,,859513,1507875,AMRITSAR,GEN,,30,57,51.78,no,99626,11.59,2.33,GEPB300657,National Party,3482,TRUE,1,,,,,,1,FALSE,FALSE,FALSE,12th Pass,Small Business or Self-employed,Self-employed,,,Lok Sabha Election (GE)
Punjab,17,2,2019,4,0,4,2,HARDEEP SINGH PURI,M,BJP,345406,,859513,1507875,AMRITSAR,GEN,,30,57,40.19,no,325319,37.85,2.33,GEPB300701,National Party,1605,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Post Graduate,Business,Real Estate or Builder or Developer or Construction,Former Government,"Ex Govt Employee, Ex Civil Service",Lok Sabha Election (GE)
Punjab,17,2,2019,4,0,4,3,KULDIP SINGH DHALIWAL,M,AAAP,20087,,859513,1507875,AMRITSAR,GEN,,30,57,2.34,yes,3752,0.44,2.33,GEPB300985,State-based Party,13,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10th Pass,Agriculture,,,,Lok Sabha Election (GE)
Punjab,17,2,2019,4,0,4,4,DASWINDER KAUR,F,CPI,16335,,859513,1507875,AMRITSAR,GEN,,30,57,1.9,yes,7572,0.88,2.33,GEPB300495,State-based Party (Other State),2444,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,Graduate,Small Business or Self-employed,Shop Keeper,Social Work,,Lok Sabha Election (GE)
Punjab,17,2,2019,4,0,4,5,NOTA,,NOTA,8763,,859513,1507875,AMRITSAR,GEN,,30,57,1.02,,5512,0.64,2.33,,NOTA,5897,TRUE,,,,,,,,,,,,,,,,Lok Sabha Election (GE)
Punjab,17,2,2019,4,0,4,6,SHAM LAL GANDHIWADI,M,IND,3251,,859513,1507875,AMRITSAR,GEN,,30,57,0.38,yes,47,0.01,2.33,GEPB8535,Independents,10809,TRUE,3,IND,10809,AMRITSAR,TRUE,TRUE,0,FALSE,FALSE,TRUE,Illiterate,Labourer or Daily Wage,,,,Lok Sabha Election (GE)
Punjab,17,2,2019,4,0,4,7,SUNIL KUMAR MATTU,M,IND,3204,,859513,1507875,AMRITSAR,GEN,,30,57,0.37,yes,893,0.1,2.33,GEPB301877,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10th Pass,Business,Private Company,,,Lok Sabha Election (GE)
Punjab,17,2,2019,4,0,4,8,SHUBHAM KUMAR,M,IND,2311,,859513,1507875,AMRITSAR,GEN,,30,57,0.27,yes,702,0.08,2.33,GEPB301797,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10th Pass,Labourer or Daily Wage,,,,Lok Sabha Election (GE)
Punjab,17,2,2019,4,0,4,9,SURJIT SINGH,M,IND,1609,,859513,1507875,AMRITSAR,GEN,,30,57,0.19,yes,284,0.03,2.33,GEPB301930,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,5th Pass,Labourer or Daily Wage,,,,Lok Sabha Election (GE)
Punjab,17,2,2019,4,0,4,10,LAKHWINDER SINGH SIDHU,M,RPI(A),1325,,859513,1507875,AMRITSAR,GEN,,30,57,0.15,yes,132,0.02,2.33,GEPB301002,State-based Party (Other State),12285,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10th Pass,Social Work,,,,Lok Sabha Election (GE)
Punjab,17,2,2019,4,0,4,11,GAGANDEEP KUMAR,M,SHS,1193,,859513,1507875,AMRITSAR,GEN,,30,57,0.14,yes,174,0.02,2.33,GEPB8540,State-based Party (Other State),18691,TRUE,2,IND,10809,AMRITSAR,TRUE,FALSE,0,FALSE,FALSE,TRUE,Post Graduate,Small Business or Self-employed,Shop Keeper,,,Lok Sabha Election (GE)
Punjab,17,2,2019,4,0,4,12,SANDEEP SINGH,M,IND,1019,,859513,1507875,AMRITSAR,GEN,,30,57,0.12,yes,118,0.01,2.33,GEPB301679,Independents,10809,TRUE,1,,,,,,0,FALSE,FALSE,FALSE,10th Pass,Labourer or Daily Wage,,,,Lok Sabha Election (GE)
Punjab,17,2,2019,4,0,4,13,MOHINDER SINGH,M,IND,901,,859513,1507875,AMRITSAR,GEN,,30,57,0.1,yes,102,0.01,2.33,GEPB21160,Independents,10809,TRUE,6,IND,10809,AMRITSAR,TRUE,TRUE,1,FALSE,FALSE,TRUE,Illiterate,Labourer or Daily Wage,Auto-rickshaw Driver,,,Lok Sabha Election (GE)
